mora,atraso,vivienda,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,zona,clasif_sbs,nivel_educ
0,0,1,24.0,3809.0,10.0,10.0,827.67,2800.0,1215.48,156.0,12,0.0,2
0,2,2,56.0,6762.0,32.40158319378901,12.0,2690.0,11987.241038228825,0.0,228.0,11,0.0,2
0,0,1,25.0,4083.0,11.0,12.0,2100.0,1500.0,1415.81,189.0,6,0.0,3
0,0,1,41.0,5421.0,8.0,12.0,990.0,179.05,637.72,198.0,14,0.0,3
0,0,1,48.0,7492.0,92.0,0.0,4000.0,11652.79,4929.23,202.0,14,0.0,2
0,13,1,41.0,4113.0,32.40158319378901,12.0,1632.87,11987.241038228825,1543.45,182.0,14,0.0,2
0,1,1,32.0,4300.0,9.0,12.0,964.17,2258.74,761.47,178.0,14,1.0,2
0,0,1,34.0,4263.0,32.40158319378901,12.0,968.0,11987.241038228825,1241.07,170.0,7,0.0,2
0,0,2,29.0,5544.0,46.0,2.0,6814.0,18752.45,0.0,214.0,14,0.0,3
0,25,1,24.0,4721.0,41.0,12.0,2200.0,1423.15,552.96,200.0,14,2.0,2
0,0,1,24.0,4113.0,10.0,9.0,2100.0,410.12,408.67,176.0,13,0.0,3
0,0,1,26.0,3474.0,5.0,11.0,1495.09,11987.241038228825,16688.92,174.0,12,0.0,2
0,1,1,31.0,4325.0,32.40158319378901,12.0,1000.0,11987.241038228825,1365.2,194.0,6,0.0,2
0,0,2,43.0,6456.0,41.0,12.0,8750.0,5817.84,4955.85,224.0,11,0.0,3
0,25,1,32.0,7551.0,45.0,0.0,13000.0,730.92,0.0,199.0,14,0.0,3
0,0,1,25.0,3990.0,32.40158319378901,12.0,1424.68,11987.241038228825,6462.92,171.0,3,0.0,2
0,0,1,31.0,3899.0,13.0,0.0,2100.0,1430.11,0.0,192.0,14,0.0,2
0,0,1,34.0,7704.0,8.0,8.0,1500.0,3754.0,355.82,188.0,13,1.0,3
0,9,1,42.0,6456.0,25.0,0.0,8000.0,10769.97,0.0,180.0,14,1.0,3
0,0,1,30.0,4386.0,7.0,12.0,2000.0,9065.38,5233.5,200.0,14,0.0,3
0,9,1,29.0,5760.0,32.40158319378901,12.0,1107.6,1650.0,3025.91,175.0,19,1.0,2
0,0,1,23.0,3734.0,32.40158319378901,12.0,1185.05,11987.241038228825,4336.36,156.0,20,0.0,2
0,17,1,47.0,7551.0,32.40158319378901,3.0,3000.0,13988.17,0.0,217.0,14,1.0,3
0,9,1,40.0,4356.0,17.0,7.0,900.0,4845.56,0.0,207.0,13,0.0,3
0,19,2,29.0,4615.0,32.40158319378901,12.0,2301.9,11987.241038228825,1886.48,212.0,12,1.0,3
0,0,2,27.0,4782.0,32.40158319378901,12.0,2097.4,11987.241038228825,0.0,211.0,14,0.0,2
0,0,1,31.0,4083.0,32.40158319378901,12.0,908.5,2145.14,4168.6,175.0,14,0.0,2
0,1,2,26.0,4144.0,32.40158319378901,12.0,664.37,11987.241038228825,1951.27,188.0,4,0.0,2
0,2,1,23.0,4448.0,3.0,12.0,1368.6,1727.25,5501.75,156.0,19,1.0,2
0,12,1,36.0,6090.0,30.0,12.0,2100.0,11987.241038228825,9594.57,213.0,14,1.0,2
0,1,1,31.0,4598.0,32.40158319378901,12.0,1500.0,11987.241038228825,10229.82,170.0,14,0.0,2
0,5,1,48.0,6059.0,32.40158319378901,12.0,1540.0,11987.241038228825,57094.38,201.0,14,1.0,2
0,0,2,50.0,4052.0,32.40158319378901,12.0,1182.72,11987.241038228825,1093.67,199.0,12,0.0,2
0,0,1,27.0,6456.0,8.0,12.0,2100.0,1717.06,432.86,187.0,14,0.0,3
0,0,1,28.0,3840.0,19.0,12.0,2100.0,1540.0,5656.79,205.0,14,0.0,2
0,0,1,38.0,4417.0,26.0,12.0,4500.0,866.76,0.0,197.0,14,0.0,3
0,1,1,28.0,4113.0,32.40158319378901,12.0,1450.38,3077.03,2007.64,175.0,6,3.0,2
0,0,1,43.0,6548.0,32.40158319378901,12.0,1542.03,11987.241038228825,9633.36,197.0,11,0.0,2
0,0,1,42.0,10931.0,39.0,0.0,3300.0,19.5,53.01,199.0,18,0.0,3
0,0,2,47.0,4935.0,32.40158319378901,2.0,7586.26,11987.241038228825,0.0,199.0,13,0.0,3
